County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
21 - Marin,12/17/2015,In Closure,20464366.00,16,Bay Area Counties
22 - Mariposa,12/17/2015,In Review,0.00,0,
22 - Mariposa,12/17/2015,Pending Construction,204686.00,2,
22 - Mariposa,12/17/2015,In Construction,163850.00,1,
22 - Mariposa,12/17/2015,In Closure,0.00,0,
23 - Mendocino,12/17/2015,In Review,3472338.00,14,
23 - Mendocino,12/17/2015,Pending Construction,226000.00,5,
23 - Mendocino,12/17/2015,In Construction,61677342.00,24,
23 - Mendocino,12/17/2015,In Closure,941973.00,12,
24 - Merced,12/17/2015,In Review,110266.00,6,
24 - Merced,12/17/2015,Pending Construction,241338.00,5,
24 - Merced,12/17/2015,In Construction,13111118.00,8,
24 - Merced,12/17/2015,In Closure,407461.00,4,
25 - Modoc,12/17/2015,In Review,0.00,0,
25 - Modoc,12/17/2015,Pending Construction,9500.00,1,
25 - Modoc,12/17/2015,In Construction,0.00,0,
25 - Modoc,12/17/2015,In Closure,0.00,0,
26 - Mono,12/17/2015,In Review,0.00,0,
26 - Mono,12/17/2015,Pending Construction,60000.00,1,
26 - Mono,12/17/2015,In Construction,21398.00,3,
26 - Mono,12/17/2015,In Closure,0.00,0,
27 - Monterey,12/17/2015,In Review,12112597.00,17,
27 - Monterey,12/17/2015,Pending Construction,4025659.00,17,
27 - Monterey,12/17/2015,In Construction,40806381.00,19,
27 - Monterey,12/17/2015,In Closure,216012.00,2,
28 - Napa,12/17/2015,In Review,3014827.00,22,Bay Area Counties
28 - Napa,12/17/2015,Pending Construction,384314.00,9,Bay Area Counties
28 - Napa,12/17/2015,In Construction,3508260.00,18,Bay Area Counties
28 - Napa,12/17/2015,In Closure,85547386.00,18,Bay Area Counties
29 - Nevada,12/17/2015,In Review,7537123.00,13,
29 - Nevada,12/17/2015,Pending Construction,655000.00,4,
29 - Nevada,12/17/2015,In Construction,46332169.00,21,
29 - Nevada,12/17/2015,In Closure,10854903.00,10,
30 - Orange,12/17/2015,In Review,95074722.00,78,Greater Los Angeles Counties
30 - Orange,12/17/2015,Pending Construction,14972339.00,54,Greater Los Angeles Counties
