County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
17 - Lake,12/3/2015,In Review,149286.00,4,
17 - Lake,12/3/2015,Pending Construction,1242000.00,5,
17 - Lake,12/3/2015,In Construction,3572639.00,8,
17 - Lake,12/3/2015,In Closure,9064984.00,7,
18 - Lassen,12/3/2015,In Review,0.00,0,
18 - Lassen,12/3/2015,Pending Construction,1002600.00,3,
18 - Lassen,12/3/2015,In Construction,1513531.00,11,
18 - Lassen,12/3/2015,In Closure,671182.00,3,
19 - Los Angeles,12/3/2015,In Review,598170359.00,543,Greater Los Angeles Counties
19 - Los Angeles,12/3/2015,Pending Construction,230783137.00,515,Greater Los Angeles Counties
19 - Los Angeles,12/3/2015,In Construction,929573293.00,894,Greater Los Angeles Counties
19 - Los Angeles,12/3/2015,In Closure,1187807204.00,514,Greater Los Angeles Counties
20 - Madera,12/3/2015,In Review,2939783.00,8,
20 - Madera,12/3/2015,Pending Construction,2081024.00,12,
20 - Madera,12/3/2015,In Construction,5939186.00,20,
20 - Madera,12/3/2015,In Closure,4250215.00,14,
21 - Marin,12/3/2015,In Review,189888577.00,19,Bay Area Counties
21 - Marin,12/3/2015,Pending Construction,99257729.00,18,Bay Area Counties
21 - Marin,12/3/2015,In Construction,16421823.00,30,Bay Area Counties
21 - Marin,12/3/2015,In Closure,20464366.00,16,Bay Area Counties
22 - Mariposa,12/3/2015,In Review,0.00,0,
22 - Mariposa,12/3/2015,Pending Construction,204686.00,2,
22 - Mariposa,12/3/2015,In Construction,163850.00,1,
22 - Mariposa,12/3/2015,In Closure,0.00,0,
23 - Mendocino,12/3/2015,In Review,3472338.00,14,
23 - Mendocino,12/3/2015,Pending Construction,226000.00,5,
23 - Mendocino,12/3/2015,In Construction,61677342.00,24,
23 - Mendocino,12/3/2015,In Closure,941973.00,12,
24 - Merced,12/3/2015,In Review,110266.00,6,
24 - Merced,12/3/2015,Pending Construction,241338.00,5,
24 - Merced,12/3/2015,In Construction,13111118.00,8,
24 - Merced,12/3/2015,In Closure,407461.00,4,
25 - Modoc,12/3/2015,In Review,0.00,0,
25 - Modoc,12/3/2015,Pending Construction,9500.00,1,
25 - Modoc,12/3/2015,In Construction,0.00,0,
25 - Modoc,12/3/2015,In Closure,0.00,0,
26 - Mono,12/3/2015,In Review,0.00,0,
26 - Mono,12/3/2015,Pending Construction,60000.00,1,
26 - Mono,12/3/2015,In Construction,21398.00,3,
26 - Mono,12/3/2015,In Closure,0.00,0,
27 - Monterey,12/3/2015,In Review,12112597.00,17,
27 - Monterey,12/3/2015,Pending Construction,4025659.00,17,
27 - Monterey,12/3/2015,In Construction,40806381.00,19,
27 - Monterey,12/3/2015,In Closure,216012.00,2,
28 - Napa,12/3/2015,In Review,3014827.00,22,Bay Area Counties
28 - Napa,12/3/2015,Pending Construction,384314.00,9,Bay Area Counties
28 - Napa,12/3/2015,In Construction,3508260.00,18,Bay Area Counties
28 - Napa,12/3/2015,In Closure,85547386.00,18,Bay Area Counties
29 - Nevada,12/3/2015,In Review,7537123.00,13,
29 - Nevada,12/3/2015,Pending Construction,655000.00,4,
29 - Nevada,12/3/2015,In Construction,46332169.00,21,
29 - Nevada,12/3/2015,In Closure,10854903.00,10,
30 - Orange,12/3/2015,In Review,95074722.00,78,Greater Los Angeles Counties
30 - Orange,12/3/2015,Pending Construction,14972339.00,54,Greater Los Angeles Counties
30 - Orange,12/3/2015,In Construction,106145041.00,193,Greater Los Angeles Counties
30 - Orange,12/3/2015,In Closure,55611864.00,160,Greater Los Angeles Counties
31 - Placer,12/3/2015,In Review,1887627.00,16,Greater Sacramento Counties
31 - Placer,12/3/2015,Pending Construction,1383797.00,9,Greater Sacramento Counties
31 - Placer,12/3/2015,In Construction,16954990.00,41,Greater Sacramento Counties
31 - Placer,12/3/2015,In Closure,18645394.00,18,Greater Sacramento Counties
32 - Plumas,12/3/2015,In Review,30000.00,1,
32 - Plumas,12/3/2015,Pending Construction,185555.00,6,
32 - Plumas,12/3/2015,In Construction,45900.00,1,
32 - Plumas,12/3/2015,In Closure,0.00,0,
33 - Riverside,12/3/2015,In Review,120087548.00,47,
33 - Riverside,12/3/2015,Pending Construction,215919989.00,82,
33 - Riverside,12/3/2015,In Construction,240434536.00,116,
33 - Riverside,12/3/2015,In Closure,14895335.00,57,
34 - Sacramento,12/3/2015,In Review,75233414.00,63,Greater Sacramento Counties
34 - Sacramento,12/3/2015,Pending Construction,124449679.00,58,Greater Sacramento Counties
34 - Sacramento,12/3/2015,In Construction,300469188.00,133,Greater Sacramento Counties
34 - Sacramento,12/3/2015,In Closure,116373377.00,67,Greater Sacramento Counties
35 - San Benito,12/3/2015,In Review,0.00,0,
35 - San Benito,12/3/2015,Pending Construction,270388.00,3,
35 - San Benito,12/3/2015,In Construction,14048205.00,4,
35 - San Benito,12/3/2015,In Closure,0.00,0,
36 - San Bernardino,12/3/2015,In Review,659045043.00,58,
36 - San Bernardino,12/3/2015,Pending Construction,23654728.00,93,
36 - San Bernardino,12/3/2015,In Construction,202723174.00,103,
36 - San Bernardino,12/3/2015,In Closure,5909695.00,47,
37 - San Diego,12/3/2015,In Review,95302954.00,113,
37 - San Diego,12/3/2015,Pending Construction,51616592.00,111,
37 - San Diego,12/3/2015,In Construction,954083432.00,228,
37 - San Diego,12/3/2015,In Closure,67077012.00,88,
38 - San Francisco,12/3/2015,In Review,419699759.00,50,Bay Area Counties
38 - San Francisco,12/3/2015,Pending Construction,33738555.00,38,Bay Area Counties
38 - San Francisco,12/3/2015,In Construction,1235644430.00,136,Bay Area Counties
38 - San Francisco,12/3/2015,In Closure,398943584.00,28,Bay Area Counties
39 - San Joaquin,12/3/2015,In Review,37182533.00,20,
39 - San Joaquin,12/3/2015,Pending Construction,3689223.00,16,
39 - San Joaquin,12/3/2015,In Construction,17998301.00,52,
39 - San Joaquin,12/3/2015,In Closure,10058186.00,27,
40 - San Luis Obispo,12/3/2015,In Review,2065486.00,9,
40 - San Luis Obispo,12/3/2015,Pending Construction,892193.00,13,
40 - San Luis Obispo,12/3/2015,In Construction,4374503.00,15,
40 - San Luis Obispo,12/3/2015,In Closure,7294837.00,14,
41 - San Mateo,12/3/2015,In Review,77840601.00,26,Bay Area Counties
41 - San Mateo,12/3/2015,Pending Construction,157960233.00,39,Bay Area Counties
41 - San Mateo,12/3/2015,In Construction,71703449.00,31,Bay Area Counties
41 - San Mateo,12/3/2015,In Closure,5988758.00,17,Bay Area Counties
42 - Santa Barbara,12/3/2015,In Review,16923170.00,21,
42 - Santa Barbara,12/3/2015,Pending Construction,945508.00,9,
42 - Santa Barbara,12/3/2015,In Construction,379837415.00,61,
42 - Santa Barbara,12/3/2015,In Closure,12940038.00,26,
43 - Santa Clara,12/3/2015,In Review,266519963.00,85,Bay Area Counties
43 - Santa Clara,12/3/2015,Pending Construction,12044092.00,46,Bay Area Counties
43 - Santa Clara,12/3/2015,In Construction,1692365341.00,126,Bay Area Counties
43 - Santa Clara,12/3/2015,In Closure,144173135.00,41,Bay Area Counties
44 - Santa Cruz,12/3/2015,In Review,15911994.00,10,
44 - Santa Cruz,12/3/2015,Pending Construction,390009.00,5,
44 - Santa Cruz,12/3/2015,In Construction,9543505.00,11,
44 - Santa Cruz,12/3/2015,In Closure,191081.00,5,
45 - Shasta,12/3/2015,In Review,2633985.00,13,
45 - Shasta,12/3/2015,Pending Construction,1055650.00,13,
45 - Shasta,12/3/2015,In Construction,7574066.00,15,
45 - Shasta,12/3/2015,In Closure,5153253.00,26,
46 - Sierra,12/3/2015,In Review,0.00,0,
46 - Sierra,12/3/2015,Pending Construction,0.00,0,
46 - Sierra,12/3/2015,In Construction,0.00,0,
46 - Sierra,12/3/2015,In Closure,0.00,0,
47 - Siskiyou,12/3/2015,In Review,1673000.00,5,
47 - Siskiyou,12/3/2015,Pending Construction,663000.00,5,
47 - Siskiyou,12/3/2015,In Construction,436500.00,4,
47 - Siskiyou,12/3/2015,In Closure,1264130.00,9,
48 - Solano,12/3/2015,In Review,57790056.00,11,Bay Area Counties
48 - Solano,12/3/2015,Pending Construction,1272530.00,13,Bay Area Counties
48 - Solano,12/3/2015,In Construction,45129270.00,29,Bay Area Counties
48 - Solano,12/3/2015,In Closure,9654378.00,27,Bay Area Counties
49 - Sonoma,12/3/2015,In Review,5853896.00,27,Bay Area Counties
49 - Sonoma,12/3/2015,Pending Construction,1697607.00,17,Bay Area Counties
49 - Sonoma,12/3/2015,In Construction,18664279.00,63,Bay Area Counties
49 - Sonoma,12/3/2015,In Closure,132131578.00,35,Bay Area Counties
50 - Stanislaus,12/3/2015,In Review,11711500.00,15,
50 - Stanislaus,12/3/2015,Pending Construction,3258216.00,17,
50 - Stanislaus,12/3/2015,In Construction,29974283.00,39,
50 - Stanislaus,12/3/2015,In Closure,5156335.00,20,
51 - Sutter,12/3/2015,In Review,0.00,1,
51 - Sutter,12/3/2015,Pending Construction,12696000.00,3,
51 - Sutter,12/3/2015,In Construction,280767.00,2,
51 - Sutter,12/3/2015,In Closure,0.00,0,
52 - Tehama,12/3/2015,In Review,433000.00,2,
52 - Tehama,12/3/2015,Pending Construction,548636.00,3,
